GEOID,latino_pop,total_pop
28111,154,11511
28113,627,40324
28115,2048,31184
28117,405,25008
28119,21,6176
28121,5067,157031
28123,4148,27990
28125,61,3800
28127,386,25949
28129,198,14209
28131,444,18333
28133,661,25971
28135,425,12715
28137,805,28064
28139,1118,21815
28141,537,18850
28143,191,9782
28145,1301,27777
28147,203,13884
28149,876,44722
28151,584,44922
28153,343,19779
28155,155,9926
28157,70,8587
28159,226,17714
28161,163,12481
28163,1076,26743
29001,661,25314
29003,391,18135
29005,73,5305
29007,731,24962
29009,3333,34534
29011,266,11637
29013,335,16042
29015,310,19394
29017,153,10567
29019,8052,183610
29021,5600,84793
29023,901,42130
29025,151,8815
29027,965,44283
29029,1355,42745
29031,2234,81710
29033,132,8495
29035,97,5202
29037,5583,107824
29039,261,14188
29041,101,7408
29043,3012,88842
29045,50,6634
29047,18850,253335
29049,502,21184
29051,2661,77279
29053,322,17103
29055,482,23056
29057,135,7569
29059,320,17071
29061,113,8430
29063,227,11029
29065,271,14421
29067,239,11578
29069,2042,28283
29071,2205,104682
29073,189,14794
29075,90,6162
29077,14392,298915
29079,241,9808
29081,168,8157
29083,573,21946
29085,132,8279
29087,67,4223
29089,208,10151
29091,896,39750
29093,177,9537
29095,77785,717204
29097,11377,122761
29099,5552,226739
29101,2595,54013
29103,23,3744
29105,955,36039
29107,1047,32984
29109,2987,38001
29111,165,10032
29113,1541,59574
29115,289,11874
29117,239,14557
29119,2818,23303
29121,276,15209
29123,342,12626
29125,134,8432
29127,516,28525
29129,155,3538
29131,466,24722
29133,223,12577
29135,864,15473
29137,159,8666
29139,229,11322
29141,446,21006
29143,253,16434
29145,3607,58648
29147,427,21241
29149,117,8635
29151,125,13274
29153,109,8553
29155,415,15661
29157,383,18956
29159,4016,42980
29161,1259,44638
29163,434,17587
29165,7161,106718
29167,791,31519
29169,6079,53955
29171,112,4681
29173,96,10355
29175,572,24716
29177,580,23158
29179,99,6096
29181,127,10679
29183,16011,405262
29185,178,9284
29186,269,18479
29187,1089,66922
29189,37178,1004125
29195,2830,23333
29197,47,4032
29199,35,4716
29201,935,38059
29203,141,7031
29205,117,6103
29207,566,28672
29209,782,31076
29211,1054,5999
29213,4329,56066
29215,515,24487
29217,426,19707
29219,1400,35532
29221,227,23514
29223,155,10974
29225,790,39085
29227,25,1973
29229,370,18188
29510,15405,301578
30001,431,9371
30003,515,13124
30005,158,7044
30007,200,6774
30009,261,10473
30011,11,1415
30013,4012,84414
30015,159,5895
30017,362,11867
30019,49,1661
30021,288,8940
30023,260,9421
30025,63,3049
30027,225,11446
30029,3329,104357
30031,5895,118960
30033,14,1173
30035,301,13778
30037,35,823
30039,85,3309
30041,500,16309
30043,291,12085
30045,49,2023
30047,1168,31134
30049,2599,70973
30051,13,1959
30053,561,19677
30055,32,1729
30057,239,8623
30059,46,1927
30061,147,4535
30063,6004,117922
30065,146,4730
30067,510,17191
30069,5,496
30071,112,4217
30073,97,5898
30075,35,1694
